CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents
"04/27/2018,17:09:00,4A,2200 HARFORD RD,AGG. ASSAULT,O,FIREARM,342,EASTERN,Darley Park,-76.59646,39.31563,""(39.315630000000, -76.596460000000)"",STREET,1"
"04/27/2018,17:00:00,5A,3900 WABASH AVE,BURGLARY,I,,643,NORTHWESTERN,East Arlington,-76.66554,39.3294,""(39.329400000000, -76.665540000000)"",APT/CONDO,1"
"04/27/2018,16:45:00,6C,800 W 36TH ST,LARCENY,I,,531,NORTHERN,Hampden,-76.63086,39.33115,""(39.331150000000, -76.630860000000)"",CONVENIENC,1"
"04/27/2018,16:24:00,6C,1600 THAMES ST,LARCENY,I,,213,SOUTHEASTERN,Fells Point,-76.59414,39.28135,""(39.281350000000, -76.594140000000)"",OTHER - IN,1"
"04/27/2018,16:20:00,6J,NORTH AV & MARYLAND AV,LARCENY,O,,141,CENTRAL,Charles North,-76.61791,39.31111,""(39.311110000000, -76.617910000000)"",STREET,1"
"04/27/2018,15:35:00,5A,1000 SAINT PAUL ST,BURGLARY,I,,141,CENTRAL,Mid-Town Belvedere,-76.61426,39.30114,""(39.301140000000, -76.614260000000)"",OTHER/RESI,1"
"04/27/2018,15:30:00,3JO,3700 MILFORD AVE,ROBBERY - RESIDENCE,I,OTHER,622,NORTHWESTERN,Howard Park,-76.69896,39.33471,""(39.334710000000, -76.698960000000)"",VACANT BUI,1"
"04/27/2018,15:30:00,3P,3700 MILFORD AVE,ROBBERY - STREET,I,,622,NORTHWESTERN,Howard Park,-76.69896,39.33471,""(39.334710000000, -76.698960000000)"",VACANT BUI,1"
"04/27/2018,15:30:00,3P,3700 MILFORD AVE,ROBBERY - STREET,I,,622,NORTHWESTERN,Howard Park,-76.69896,39.33471,""(39.334710000000, -76.698960000000)"",VACANT BUI,1"
"04/27/2018,15:30:00,4C,1000 W BALTIMORE ST,AGG. ASSAULT,O,OTHER,712,WESTERN,Poppleton,-76.63401,39.28877,""(39.288770000000, -76.634010000000)"",STREET,1"
"04/27/2018,15:20:00,6A,FAYETTE ST & N HOWARD ST,LARCENY,O,,111,CENTRAL,Downtown,-76.6195,39.29046,""(39.290460000000, -76.619500000000)"",STREET,1"
"04/27/2018,15:00:00,6D,900 S CATON AVE,LARCENY FROM AUTO,O,,832,SOUTHWESTERN,Violetville,-76.67137,39.27355,""(39.273550000000, -76.671370000000)"",PARKING LO,1"
"04/27/2018,14:19,9S,400 N LINWOOD AV,SHOOTING,Outside,FIREARM,221,SOUTHEASTERN,McElderry Park,-76.57647,39.29602,""(39.296020000000, -76.576470000000)"",Street,1"
"04/27/2018,14:50:00,6E,2200 CLIFTON AVE,LARCENY,O,,731,WESTERN,Mondawmin,-76.65374,39.31171,""(39.311710000000, -76.653740000000)"",STREET,1"
"04/27/2018,14:45:00,4D,0 N GREENE ST,AGG. ASSAULT,O,HANDS,121,CENTRAL,University Of Maryland,-76.62372,39.28942,""(39.289420000000, -76.623720000000)"",STREET,1"
"04/27/2018,14:19:00,4A,400 N LINWOOD AVE,AGG. ASSAULT,,FIREARM,221,SOUTHEASTERN,McElderry Park,-76.57647,39.29602,""(39.296020000000, -76.576470000000)"",,1"
"04/27/2018,14:19:00,6D,5400 NARCISSUS AVE,LARCENY FROM AUTO,O,,633,NORTHWESTERN,Arlington,-76.68457,39.34914,""(39.349140000000, -76.684570000000)"",STREET,1"
"04/27/2018,14:16:00,4E,500 DOLPHIN ST,COMMON ASSAULT,O,OTHER,123,CENTRAL,Upton,-76.62911,39.29987,""(39.299870000000, -76.629110000000)"",OTHER - OU,1"
"04/27/2018,14:14:00,6C,3800 EASTERN AVE,LARCENY,I,,231,SOUTHEASTERN,Highlandtown,-76.56483,39.28673,""(39.286730000000, -76.564830000000)"",RETAIL/SMA,1"
"04/27/2018,14:05:00,5C,4700 HARFORD RD,BURGLARY,I,,421,NORTHEASTERN,Lauraville,-76.56838,39.34365,""(39.343650000000, -76.568380000000)"",APT/CONDO,1"
